mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score
0.046334028244018555,0.005080461502075195,0.0034395456314086914,5.364418029785156e-06,5,log2,2,5,50,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",1.0,0.75,0.875,0.125,1,0.75,1.0,0.875,0.125
0.17112493515014648,0.0033721923828125,0.008563876152038574,6.139278411865234e-05,5,log2,2,2,200,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",1.0,0.75,0.875,0.125,1,0.75,1.0,0.875,0.125
0.08841240406036377,0.002003312110900879,0.005505681037902832,0.00034105777740478516,5,log2,2,2,100,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",1.0,0.75,0.875,0.125,1,0.75,1.0,0.875,0.125
0.04862356185913086,0.0005185604095458984,0.003690958023071289,0.00023102760314941406,5,log2,2,2,50,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",1.0,0.75,0.875,0.125,1,0.75,1.0,0.875,0.125
0.16885018348693848,0.0063152313232421875,0.00847470760345459,1.2278556823730469e-05,5,log2,1,5,200,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",1.0,0.75,0.875,0.125,1,0.75,1.0,0.875,0.125
0.096435546875,0.0032281875610351562,0.00581204891204834,0.00014197826385498047,5,log2,1,5,100,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",1.0,0.75,0.875,0.125,1,0.75,1.0,0.875,0.125
0.04041028022766113,0.00036835670471191406,0.0033473968505859375,0.0001499652862548828,5,log2,1,5,50,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",1.0,0.75,0.875,0.125,1,0.75,1.0,0.875,0.125
0.17305076122283936,0.007492423057556152,0.008617043495178223,0.0002981424331665039,5,log2,1,2,200,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",1.0,0.75,0.875,0.125,1,1.0,1.0,1.0,0.0
0.0905449390411377,0.0019588470458984375,0.005434632301330566,0.00010097026824951172,5,log2,1,2,100,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",1.0,0.75,0.875,0.125,1,1.0,1.0,1.0,0.0
0.051313042640686035,0.0006259679794311523,0.003692030906677246,2.753734588623047e-05,5,log2,1,2,50,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",1.0,0.75,0.875,0.125,1,1.0,1.0,1.0,0.0
0.16705477237701416,0.0019439458847045898,0.00917208194732666,0.00038421154022216797,5,sqrt,2,5,200,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",1.0,0.75,0.875,0.125,1,0.75,1.0,0.875,0.125
0.08537328243255615,0.0010739564895629883,0.005170345306396484,5.245208740234375e-06,5,sqrt,2,5,100,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",1.0,0.75,0.875,0.125,1,0.75,1.0,0.875,0.125
0.04042983055114746,0.0002155303955078125,0.0033445358276367188,0.00013208389282226562,5,sqrt,2,5,50,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",1.0,0.75,0.875,0.125,1,0.75,1.0,0.875,0.125
0.1693739891052246,0.007131814956665039,0.013911724090576172,0.005189418792724609,5,sqrt,2,2,200,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",1.0,0.75,0.875,0.125,1,0.75,1.0,0.875,0.125
0.07464003562927246,0.0006318092346191406,0.00500333309173584,0.0002671480178833008,5,sqrt,2,2,100,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",1.0,0.75,0.875,0.125,1,0.75,1.0,0.875,0.125
0.04925060272216797,0.0005819797515869141,0.003571748733520508,0.00019049644470214844,5,sqrt,2,2,50,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",1.0,0.75,0.875,0.125,1,0.75,1.0,0.875,0.125
0.17821168899536133,0.001989603042602539,0.0085676908493042,0.00036776065826416016,5,sqrt,1,5,200,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",1.0,0.75,0.875,0.125,1,0.75,1.0,0.875,0.125
